movie_id,revnue_id,domestic_box_office,international_box_office,worldwide_box_office,opening_weekend
M156,R156,"$56,451,232 ","$44,682,827 ","$101,134,059 ","$17,015,168 "
M157,R157,"$35,144,505 ","$46,687,361 ","$81,831,866 ","$14,065,500 "
M158,R158,"$14,904,426 ","$13,900,000 ","$28,804,426 ","$5,461,475 "
M159,R159,"$58,697,076 ","$101,249,413 ","$159,946,489 ","$22,872,490 "
M160,R160,"$87,044,645 ","$18,986,015 ","$106,030,660 ","$13,922,855 "
M161,R161,"$11,107,431 ","$7,187,452 ","$18,294,883 ","$5,130,963 "
M162,R162,"$17,839,115 ","$13,339,827 ","$31,178,942 ","$7,132,647 "
M163,R163,"$77,339,130 ","$25,774,316 ","$103,113,446 ","$27,257,615 "
M164,R164,"$34,393,507 ","$110,980,592 ","$145,374,099 ","$13,113,024 "
M165,R165,"$85,886,987 ","$163,630,969 ","$249,517,956 ","$14,287,159 "
M166,R166,"$1,243,810 ","$247,448,912 ","$248,692,722 ","$279,974 "
M167,R167,"$3,818,664 ","$744,416 ","$4,563,080 ","$2,182,216 "
M168,R168,"$83,240,103 ","$130,441,970 ","$213,682,073 ","$23,045,635 "
M169,R169,"$3,143,056 ","$11,493,011 ","$14,636,067 ","$115,575 "
M170,R170,"$92,054,159 ","$166,774,899 ","$258,829,058 ","$32,753,122 "
M171,R171,"$153,707,064 ","$189,535,549 ","$343,242,613 ","$46,581,142 "
M172,R172,"$16,883,115 ","$28,290,623 ","$45,173,738 ","$6,574,326 "
M173,R173,"$70,259,870 ","$62,902,882 ","$133,162,752 ","$705,527 "
M174,R174,"$86,260,045 ","$66,702,038 ","$152,962,083 ","$24,710,273 "
M175,R175,"$6,352,306 ","$301,409 ","$6,653,715 ","$3,008,563 "
M176,R176,"$4,211,129 ","$4,575,158 ","$8,786,287 ","$1,611,040 "
M177,R177,"$3,740,823 ","$42,673,707 ","$46,414,530 ","$30,909 "
M178,R178,"$2,005,142 ","$847,617 ","$2,852,759 ","$1,050,021 "
M179,R179,"$252,676 ","$181,056 ","$433,732 ","$168,575 "
M180,R180,"$68,549,695 ","$62,907,452 ","$131,457,147 ","$26,608,020 "
M181,R181,"$20,007,149 ","$3,304,144 ","$23,311,293 ","$6,878,437 "
M182,R182,"$24,004,833 ","$1,943,150 ","$25,947,983 ","$8,860,431 "
M183,R183,"$231,346 ","$8,593,527 ","$8,824,873 ","$52,625 "
M184,R184,"$12,638,526 ","$5,806,853 ","$18,445,379 ","$518,332 "
M185,R185,"$100,234,838 ","$308,568,858 ","$408,803,696 ","$39,023,010 "
M186,R186,"$2,653,031 ","$80,366 ","$2,733,397 ","$1,198,453 "
M187,R187,"$434,640 ","$4,524,399 ","$4,959,039 ","$13,754 "
M188,R188,"$15,861,566 ","$1,029,445 ","$16,891,011 ","$7,004,254 "
M189,R189,"$1,233,694 ","$251,308 ","$1,485,002 ","$225,723 "
M190,R190,"$42,725,475 ","$19,062,918 ","$61,788,393 ","$16,293,325 "
M191,R191,"$34,343,574 ","$185,175,793 ","$219,519,367 ","$14,860,425 "
M192,R192,"$75,395,035 ","$98,883,179 ","$174,278,214 ","$24,536,265 "
M193,R193,"$17,800,004 ","$24,731,072 ","$42,531,076 ","$7,534,673 "
M194,R194,"$59,281,555 ","$63,455,646 ","$122,737,201 ","$20,433,071 "
M195,R195,"$25,020,758 ","$64,672,551 ","$89,693,309 ","$11,053,366 "
M196,R196,"$4,412,170 ","$154,966,608 ","$159,378,778 ","$1,638,895 "
