movie_id,movie_title,production_budget
M290,An Inconvenient Sequel,"$1,000,000 "
M291,Detroit,"$40,000,000 "
M292,Hell or High Water,"$12,000,000 "
M293,The Equalizer 2,"$77,000,000 "
M294,Mamma Mia: Here We Go Again!,"$75,000,000 "
M295,Mission: Impossibleâ€”Fallout,"$178,000,000 "
M296,Atomic Blonde,"$30,000,000 "
M297,The Emoji Movie,"$50,000,000 "
M298,Freeheld,"$7,000,000 "
M299,Sausage Party,"$19,000,000 "
M300,Peteâ€™s Dragon,"$65,000,000 "
M301,Nine Lives,"$30,000,000 "
M302,Eighth Grade,"$2,000,000 "
M303,The Walk,"$35,000,000 "
M304,The Martian,"$108,000,000 "
M305,Pan,"$150,000,000 "
M306,Suicide Squad,"$175,000,000 "
M307,Sorry to Bother You,"$3,200,000 "
M308,Valerian and the City of a Thousand Planets,"$180,000,000 "
M309,Girls Trip,"$28,000,000 "
M310,Dunkirk,"$150,000,000 "
M311,Wish Upon,"$12,000,000 "
M312,War for the Planet of the Apes,"$152,000,000 "
M313,The First Purge,"$13,000,000 "
M314,Ant-Man and the Wasp,"$130,000,000 "
M315,Skyscraper,"$125,000,000 "
M316,The Intern,"$40,000,000 "
M317,Hotel Transylvania 2,"$80,000,000 "
M318,The Green Inferno,"$1,000,000 "
M319,Bad Moms,"$20,000,000 "
M320,Nerve,"$20,000,000 "
M321,Woman Walks Ahead,"$12,000,000 "
M322,Loving Vincent,"$5,500,000 "
M323,Star Trek Beyond,"$185,000,000 "
M324,Lights Out,"$5,000,000 "
M325,Operation Chromite,"$12,700,000 "
M326,Jason Bourne,"$120,000,000 "
M327,Sicario: Day of the Soldado,"$35,000,000 "
M328,Uncle Drew,"$18,000,000 "
M329,A Ghost Story,"$100,000 "
M330,Sicario,"$30,000,000 "
M331,Black Mass,"$53,000,000 "
M332,Captive,"$2,000,000 "
M333,Hotel Transylvania 3: Summer Vacation,"$65,000,000 "
M334,Spider-Man: Homecoming,"$175,000,000 "
M335,Visages villages,"$1,000,000 "
M336,Legend,"$25,000,000 "
M337,The Infiltrator,"$47,500,000 "
M338,Ghostbusters,"$144,000,000 "
M339,The House,"$40,000,000 "
M340,The Visit,"$5,000,000 "
M341,Tag,"$28,000,000 "
M342,Incredibles 2,"$200,000,000 "
M343,The Perfect Guy,"$18,000,000 "
M344,Maze Runner: The Scorch Trials,"$61,000,000 "
M345,Mike and Dave Need Wedding Dates,"$33,000,000 "
M346,Captain Fantastic,"$5,000,000 "
M347,Rock Dog,"$60,000,000 "
M348,La Tortue Rouge,"$11,000,000 "
M349,Sultan,"$11,000,000 "
M350,The Purge: Election Year,"$10,000,000 "
M351,Gotti,"$10,000,000 "
M352,Superfly,"$16,000,000 "
M353,Baby Driver,"$34,000,000 "
M354,Before We Go,"$3,000,000 "
M355,Ice Age: Collision Course,"$105,000,000 "
M356,Estiu 1993,"$1,100,000 "
M357,The Transporter Refueled,"$22,000,000 "
M358,Ben-Hur,"$95,000,000 "
M359,The BFG,"$140,000,000 "
M360,The Legend of Tarzan,"$180,000,000 "
M361,Swiss Army Man,"$3,000,000 "
M362,Oceanâ€™s 8,"$70,000,000 "
M363,Hearts Beat Loud,"$2,000,000 "
M364,The Big Sick,"$5,000,000 "
M365,The Beguiled,"$10,000,000 "
M366,Transformers: The Last Knight,"$217,000,000 "
M367,Free State of Jones,"$50,000,000 "
M368,Hotel Artemis,"$15,000,000 "
M369,Jurassic World: Fallen Kingdom,"$170,000,000 "
M370,Upgrade,"$3,000,000 "
M371,Wind River,"$11,000,000 "
M372,War Room,"$3,000,000 "
M373,CÃ¬kÃ¨ NiÃ¨ YinniÃ¡ng,"$15,000,000 "
M374,We Are Your Friends,"$2,000,000 "
M375,No Escape,"$5,000,000 "
M376,Dheepan,"$9,000,000 "
M377,The Shallows,"$13,000,000 "
M378,Independence Day: Resurgence,"$165,000,000 "
M379,Hereditary,"$10,000,000 "
M380,Cars 3,"$175,000,000 "
M381,Rough Night,"$20,000,000 "
M382,Despicable Me 3,"$75,000,000 "
M383,Criminal,"$31,500,000 "
M384,Hitman: Agent 47,"$35,000,000 "
M385,Sinister 2,"$10,000,000 "
M386,American Ultra,"$28,000,000 "
M387,Everest,"$65,000,000 "
M388,Adrift,"$35,000,000 "
M389,Action Point,"$19,000,000 "
M390,Straight Outta Compton,"$28,000,000 "
M391,Central Intelligence,"$50,000,000 "
M392,Finding Dory,"$200,000,000 "
M393,All Eyez on Me,"$45,000,000 "
M394,It Comes at Night,"$5,000,000 "
M395,A Walk in the Woods,"$8,000,000 "
M396,Genius,"$17,000,000 "
M397,El Clan,"$5,500,000 "
M398,Brothers,"$13,000,000 "
M399,The Man From U.N.C.L.E.,"$75,000,000 "
M400,Ricki and the Flash,"$18,000,000 "
M401,The Neon Demon,"$7,500,000 "
M402,The Conjuring 2: The Enfield Poltergeist,"$40,000,000 "
M403,Popstar: Never Stop Never Stopping,"$20,000,000 "
M404,Solo: A Star Wars Story,"$275,000,000 "
M405,Slender Man,"$10,000,000 "
M406,The Mummy,"$195,000,000 "
M407,Kahlil Gibran's The Prophet,"$12,000,000 "
M408,The Diary of a Teenage Girl,"$2,000,000 "
M409,Cop Car,"$5,000,000 "
M410,First Reformed,"$3,500,000 "
M411,Captain Underpants: The First Epic Movie,"$38,000,000 "
M412,The 33,"$25,000,000 "
M413,The Gift,"$5,000,000 "
M414,Fantastic Four,"$120,000,000 "
M415,The Fits,"$170,000 "
M416,Ma vie de Courgette,"$8,000,000 "
M417,Teenage Mutant Ninja Turtles: Out of the Shadows,"$135,000,000 "
M418,Book Club,"$10,000,000 "
M419,Wonder Woman,"$150,000,000 "
M420,Vacation,"$31,000,000 "
M421,The Little Prince,"$77,500,000 "
M422,Mission: Impossibleâ€”Rogue Nation,"$150,000,000 "
M423,Me Before You,"$20,000,000 "
M424,Show Dogs,"$5,500,000 "
M425,Now You See Me 2,"$90,000,000 "
M426,Elle,"$9,100,000 "
M427,Bilal: A New Breed of Hero,"$30,000,000 "
M428,47 Meters Down,"$5,300,000 "
M429,Best of Enemies,"$750,000 "
M430,The Vatican Tapes,"$13,000,000 "
M431,Southpaw,"$30,000,000 "
M432,Trainwreck,"$35,000,000 "
M433,Warcraft,"$160,000,000 "
M434,Deadpool 2,"$110,000,000 "
M435,Baywatch,"$60,000,000 "
M436,Pirates of the Caribbean: Dead Men Tell No Tales,"$230,000,000 "
M437,Life of the Party,"$30,000,000 "
M438,Breaking In,"$6,000,000 "
M439,Pixels,"$90,000,000 "
M440,Bajrangi Bhaijaan,"$13,000,000 "
M441,Ant-Man,"$130,000,000 "
M442,Zhuo yao ji,"$56,000,000 "
M443,CafÃ© Society,"$30,000,000 "
M444,Alice Through the Looking Glass,"$170,000,000 "
M445,Overboard,"$12,000,000 "
M446,"Everything, Everything","$10,000,000 "
M447,Diary of a Wimpy Kid: The Long Haul,"$22,000,000 "
M448,The Nice Guys,"$50,000,000 "
M449,X-Men: Apocalypse,"$178,000,000 "
M450,The Wall,"$3,000,000 "
M451,Snatched,"$42,000,000 "
M452,Paper Towns,"$12,000,000 "
M453,The Gallows,"$100,000 "
M454,The Young and Prodigious T.S. Spivet,"$33,000,000 "
M455,Baahubali: The Beginning,"$40,000,000 "
M456,Magic Mike XXL,"$14,500,000 "
M457,The Angry Birds Movie,"$73,000,000 "
M458,Money Monster,"$27,000,000 "
M459,The Secret Life of Pets,"$75,000,000 "
M460,A Most Violent Year,"$20,000,000 "
M461,The Water Diviner,"$22,500,000 "
M462,Suffragette,"$14,000,000 "
M463,Unbroken,"$65,000,000 "
M464,Into the Woods,"$56,200,000 "
M465,Knock Knock,"$2,000,000 "
M466,King Arthur: Legend of the Sword,"$175,000,000 "
M467,Big Eyes,"$10,000,000 "
M468,American Sniper,"$58,000,000 "
M469,Seventh Son,"$95,000,000 "
M470,Night at the Museum: Secret of the Tomb,"$127,000,000 "
M471,Annie,"$65,000,000 "
M472,Ted 2,"$68,000,000 "
M473,Max,"$20,000,000 "
M474,Terminator: Genisys,"$155,000,000 "
M475,Avengers: Infinity War,"$300,000,000 "
M476,Traffik,"$4,000,000 "
M477,Super Troopers 2,"$13,500,000 "
M478,Top Five,"$12,000,000 "
M479,Inherent Vice,"$20,000,000 "
M480,The Overnight,"$200,000 "
M481,Mustang,"$1,400,000 "
M482,Neighbors 2: Sorority Rising,"$35,000,000 "
M483,Alien: Covenant,"$97,000,000 "
M484,The Hobbit: The Battle of the Five Armies,"$250,000,000 "
M485,Exodus: Gods and Kings,"$140,000,000 "
M486,Dope,"$7,000,000 "
M487,Minions,"$74,000,000 "
M488,Keanu,"$15,000,000 "
M489,I Feel Pretty,"$32,000,000 "
M490,Sleight,"$250,000 "
M491,Lowriders,"$916,000 "
M492,How to Be a Latin Lover,"$10,000,000 "
M493,Guardians of the Galaxy Vol 2,"$200,000,000 "
M494,Wild,"$15,000,000 "
M495,Paddington,"$55,000,000 "
M496,Quartet,"$11,000,000 "
M497,Parental Guidance,"$25,000,000 "
M498,Django Unchained,"$100,000,000 "
M499,Cirque du Soleil: Worlds Away,"$25,000,000 "
M500,Me and Earl and the Dying Girl,"$8,000,000 "
M501,Inside Out,"$175,000,000 "
M502,Florence Foster Jenkins,"$29,000,000 "
M503,The Circle,"$18,000,000 "
M504,Baahubali 2: The Conclusion,"$30,000,000 "
M505,Horrible Bosses 2,"$40,000,000 "
M506,Penguins of Madagascar,"$132,000,000 "
M507,The Sleepwalker,"$1,100,000 "
M508,This is 40,"$35,000,000 "
M509,Zero Dark Thirty,"$52,500,000 "
M510,The Company You Keep,"$2,000,000 "
M511,The Guilt Trip,"$40,000,000 "
M512,Jack Reacher,"$60,000,000 "
M513,Les MisÃ©rables,"$65,000,000 "
M514,Strangerland,"$10,000,000 "
M515,Saul fia,"$1,700,000 "
M516,Self/Less,"$26,000,000 "
M517,Jurassic World,"$215,000,000 "
M518,Sgt. Stubby: An American Hero,"$25,000,000 "
M519,JÃ¬yÃ¬ dÃ shÄ«,"$20,000,000 "
M520,The Promise,"$90,000,000 "
M521,Phoenix Forgotten,"$2,800,000 "
M522,The Hunger Games: Mockingjay - Part 1,"$125,000,000 "
